14	5	348	11
0	5	278	19
17	5	259	28
33	4.5	189	20
9	4.5	250	13
11	5	231	9
14	5.5	175	13
14	5	175	16
14	5.5	225	12
11	5.5	250	18
8	5.5	273	12
20	5.25	256	19
11	5	189	32
27	4.5	167	16
8	8	192	17
9	6	250	12
20	5	228	18
9	5.75	228	18
14	5.75	167	11
9	9	417	24
20	5.5	220	19
9	5.5	250	12
9	9.5	334	20
20	5.5	192	19
9	6	278	15
9	5.5	278	16
20	3.5	128	29
11	5	186	30
9	5	259	19
17	5	312	10
9	9.5	487	19
14	5.25	209	38
14	4.75	172	23
17	5	287	12
14	5	259	20
20	3.5	172	18
9	6	278	15
11	5	348	22
17	6.25	278	15
25	9	417	20
8	5	312	11
17	3.5	120	25
11	3	103	24
9	5.25	209	19
8	5.25	253	11
20	9.5	476	21
25	5.25	178	36
27	4	139	25
8	5.5	253	12
25	5.5	209	20
9	7	278	20
9	5.5	198	18
8	5	300	12
9	5.25	236	19
8	9.5	509	20
17	5.5	287	11
17	6.5	351	14
33	5.5	189	24
33	4.75	189	18
14	3.5	147	25
14	5.5	234	12
33	6	125	45
14	5.75	270	11
17	5.5	236	20
20	4	178	16
17	9.5	423	20
20	6	253	16
25	5.25	159	40
8	5.25	256	12
20	4.25	147	16
9	5	236	20
14	5	267	10
9	9.5	395	20
14	5.5	178	35
9	5.5	209	15
27	7	278	20
8	6	259	12
0	9	417	20
9	4.5	209	18
18	4.5	172	23
8	4.5	312	12
0	4.5	259	19
9	9	417	18
14	5	209	35
8	8	312	14
9	6	270	15
7	4.75	270	12
38	4.25	242	16
11	9	417	20
14	5.25	298	12
17	5.25	259	20
27	7	295	15
20	5	225	24
14	4	189	27
14	6	259	12
9	5.75	234	19
11	6.5	287	20
17	6	312	12
0	5	287	12
9	9	381	20
33	6	181	40
17	8	292	19
0	4.5	270	12
9	8.5	359	21
8	6.5	270	14
9	5.5	242	18
8	6	259	12
23	4	147	20
8	7	278	14
8	5.5	270	12
0	5.5	250	19
0	5.25	250	12
25	3	153	30
17	5.75	278	10
9	5.75	231	12
9	7.5	309	14
33	4.5	184	35
7	5.25	278	11
9	5	242	19
9	8.5	370	20
14	5.5	278	12
14	7	278	14
14	3.5	167	25
60	6	167	25
17	7	292	14
14	5.75	270	12
9	5.25	250	20
14	7	209	48
20	8.5	362	20
7	6	309	12
9	6	231	18
14	3.5	184	24
9	5.5	278	18
0	5.5	300	11
20	9	370	25
20	7.5	339	16
8	3.5	153	13
23	6	292	13
14	6.5	292	12
33	3.5	117	23
20	9.5	351	22
20	7.5	320	22
7	6.25	337	12
8	6	295	18
0	5	270	19
14	6	295	12
9	9	392	22
25	6	195	23
17	8.5	337	14
17	8	178	32
14	7.25	259	25
11	9	359	22
12	6.5	334	12
11	7	223	19
25	6	156	37
11	9	406	20
7	4.5	167	12
7	5.75	228	12
14	3.5	108	21
20	7.5	278	18
11	4.5	122	24
33	4	122	21
8	7	245	14
25	5.75	184	21
16	6.5	334	17
44	6.5	223	29
8	6.5	334	12
11	5.5	167	24
25	9	406	26
8	4.5	306	12
20	5.75	236	22
14	5.25	97	40
9	8	317	19
9	6	298	14
14	5	147	38
0	6.75	217	20
11	9	317	22
14	4.5	139	39
8	5.5	267	12
9	8	317	20
14	6	117	36
8	6	278	14
8	6	217	14
33	4.5	159	14
14	3.5	128	28
8	4.5	217	16
42	3.5	89	19
16	5.5	97	45
42	7	159	35
20	8	356	18
9	6	223	18
14	7.5	134	35
27	6.5	278	18
40	5	259	19
33	4	145	25
25	3.5	131	18
11	8	370	21
20	4	92	40
11	3.5	153	18
9	4.75	334	12
