3.1133	8.3089	1	6.0474	5.2111	1
6.3094	11.9244	1	10.0224	8.9241	2
4.9094	10.4228	15	8.3008	7.1753	3
4.8015	10.4257	20	8.5323	7.0946	4
5.044	10.342	15	8.8476	7.0271	5
5.3668	10.7143	19	9.0052	7.4691	6
5.5848	10.6476	15	9.5147	7.2796	7
4.9117	11.0055	1	8.5462	7.5275	8
4.7664	10.869	1	8.9587	7.4124	9
3.8939	9.7804	5	7.4478	6.7191	10
3.8719	10.2207	3	7.6266	6.7567	11
3.6692	9.305	3	7.9512	6.6632	12
3.898	8.9506	2	7.4855	6.3694	13
3.9718	9.7259	2	7.67	6.1487	14
4.0437	9.6931	9	7.7271	6.5349	15
3.9065	9.1104	1	7.4472	6.6616	16
4.2529	9.9988	8	8.083	6.9765	17
4.1609	10.2966	4	8.2602	7.4995	18
2.7661	9.2501	1	6.5294	6.5346	19
4.3428	10.0222	5	7.981	6.8683	20
3.4685	9.1982	2	7.0166	6.1253	21
2.7741	8.9874	2	6.2691	5.7964	22
4.1348	9.8746	4	8.2014	6.7493	23
2.9981	7.9361	1	5.7301	5.0892	24
4.5631	10.4382	6	8.2391	7.183	25
4.6447	10.2848	18	8.6641	6.7545	26
5.1444	10.9557	18	8.8562	6.9203	27
5.213	10.9275	21	8.9154	7.2717	28
5.5831	11.0851	17	9.526	7.2911	29
4.0679	9.7591	1	7.5601	6.2591	30
4.7172	10.6418	2	8.3445	6.9641	31
4.9513	11.0299	1	8.1577	7.3461	32
4.6243	10.1798	4	8.1559	7.0164	33
3.1648	9.4219	1	7.1301	6.2134	34
4.0013	10.1541	3	8.0703	6.5287	35
4.6569	10.534	1	8.6521	7.0385	36
4.2519	10.1225	5	7.961	6.7452	37
3.432	9.4225	5	7.6516	6.3252	38
5.2908	11.6732	1	8.8216	7.7819	39
3.8219	9.7468	1	7.7647	6.5858	40
4.1127	9.9779	7	8.0796	6.8633	41
4.3237	10.3478	4	8.3535	7.4795	42
3.632	9.6267	6	7.1009	6.2822	43
3.8468	9.7558	4	7.8583	6.5182	44
3.3753	9.1475	3	6.649	5.6573	45
2.9188	9.1645	2	6.4441	5.7481	46
4.9741	10.8749	3	8.6641	6.9808	47
3.8077	10.2106	1	7.5549	6.8733	48
4.1326	10.2111	9	8.0346	6.7452	49
