     1952          1     87.875   .1975607    126.537       1.64
     1952          2     88.125   .1981673    127.506   1.677667
     1952          3     89.625   .2001787    129.385   1.828667
     1952          4     92.875   .2012459    128.512   1.923667
     1953          1     94.625   .2010517    130.587   2.047333
     1953          2      95.55   .2014442    130.341   2.202667
     1953          3     95.425   .2022359    131.389   2.021667
     1953          4     94.175   .2027231    129.891   1.486333
     1954          1     94.075   .2034164    130.173   1.083667
     1954          2       94.2    .203841    131.385   .8143333
     1954          3      95.45   .2042913    134.627   .8696667
     1954          4   97.36375    .204374    134.252   1.036333
     1955          1    100.725   .2056032    136.413   1.256333
     1955          2    102.825   .2062274    136.471   1.614333
     1955          3    104.925    .207762    138.377   1.861333
     1955          4      106.6   .2099975    137.244   2.349333
     1956          1    107.275   .2120478    138.053   2.379333
     1956          2    108.675   .2133287    138.375   2.596667
     1956          3    109.875   .2161404    138.993   2.596667
     1956          4    112.125   .2170651    139.087   3.063667
     1957          1      114.3   .2200722    139.541   3.171667
     1957          2    114.725   .2214875    139.525      3.157
     1957          3     116.55   .2226361    139.928   3.382333
     1957          4    115.425   .2229573    138.418   3.343333
     1958          1    113.475   .2255292    139.633      1.838
     1958          2      114.6   .2264039    139.655   1.017667
     1958          3   118.0167   .2277986    143.171   1.710667
     1958          4    121.275    .228756    144.112   2.787667
     1959          1    124.075   .2292379     145.86   2.800333
     1959          2    127.325   .2290739     146.14   3.019333
     1959          3      127.4   .2294049    147.396      3.533
     1959          4    128.425   .2302555    145.483   4.299333
     1960          1    131.825   .2313531    145.699      3.943
     1960          2    131.525   .2322225    145.599   3.092333
     1960          3    132.225   .2331702    147.525   2.390333
     1960          4    130.975   .2340302    146.527   2.360667
     1961          1    132.025   .2345339    149.319   2.376667
     1961          2    134.725   .2351222    149.736   2.324667
     1961          3    137.375    .235574    152.237   2.324667
     1961          4    140.625   .2362453    152.525      2.475
     1962          1    143.825   .2374721    153.274      2.739
     1962          2     145.65   .2379902    153.532      2.716
     1962          3    147.475   .2386423    154.727      2.858
     1962          4      148.2   .2393508    156.595   2.803333
     1963          1    150.525   .2400048     157.08      2.909
     1963          2    152.725   .2406919    158.056   2.941333
     1963          3    155.925   .2411553    160.609   3.280667
     1963          4     158.15    .242878    162.127   3.499333
     1964          1    162.325   .2434845    162.775      3.538
     1964          2    164.575   .2440408    163.881   3.481333
     1964          3      167.3   .2451641    169.933      3.504
     1964          4      168.8   .2464503    170.735      3.685
     1965          1    173.925    .247677    170.826   3.899667
     1965          2     177.05   .2488143    170.263      3.879
     1965          3    181.275    .250138    176.387   3.859667
     1965          4    186.925   .2517085    179.169   4.158667
     1966          1      192.6   .2532212    181.081   4.630667
     1966          2    195.025   .2553101     179.56   4.597333
     1966          3    198.375    .257923     182.93   5.047667
     1966          4      201.8   .2601857    183.996      5.246
     1967          1     204.35    .261384    186.783   4.533667
     1967          2      205.8   .2630452    186.526   3.657333
     1967          3    209.725   .2659628    194.862   4.344666
     1967          4     213.65   .2689113    198.199   4.787333
     1968          1    220.125   .2720784    199.984   5.064667
     1968          2    226.275   .2749309    200.433       5.51
     1968          3     230.05   .2774946    207.782   5.226333
     1968          4      234.2     .28122    214.601   5.580667
     1969          1        240   .2838641    213.884   6.137667
     1969          2    243.525   .2873282    214.503       6.24
     1969          3      248.4   .2914039    217.824   7.046667
     1969          4    250.275   .2950834     222.05   7.317667
     1970          1      253.5   .2994242    227.102   7.262667
     1970          2    257.375    .303544    229.998   6.752333
     1970          3    261.925   .3060765    241.588   6.374667
     1970          4   262.6682   .3099878    232.299   5.358333
     1971          1     274.15   .3149882    241.707   3.863333
     1971          2    279.425   .3192608    247.938      4.206
     1971          3    284.325   .3227482     255.48   5.050333
     1971          4    287.475   .3254004    247.219   4.234334
     1972          1     297.55     .33018    258.248   3.435333
     1972          2    306.075   .3319775     262.17   3.748333
     1972          3    311.975   .3348988    268.685   4.241333
     1972          4     321.65   .3394365    272.027   4.851333
     1973          1    334.375    .343636    276.028   5.639667
     1973          2     342.35   .3494259    284.329   6.608333
     1973          3     347.85   .3561209    284.264   8.388333
     1973          4    358.075    .362874    290.152   7.461667
     1974          1      361.6   .3701031    292.508   7.600333
     1974          2    370.625   .3779381    298.638      8.268
     1974          3    377.975   .3896649     298.16   8.286333
     1974          4     386.65   .4012869    301.727      7.336
     1975          1      390.1   .4105344    304.272   5.873333
     1975          2     399.45   .4166145    318.883   5.400667
     1975          3     414.33   .4241925    317.538   6.336667
     1975          4   427.1275   .4322606    318.358   5.684333
     1976          1      441.8   .4369282    326.259   4.953333
     1976          2    449.525   .4415549    332.608   5.168667
     1976          3    457.575   .4476703    332.776   5.168667
     1976          4     470.05   .4556514    340.475      4.698
     1977          1    483.575   .4631612    350.858      4.624
     1977          2    501.275   .4706697    356.054   4.828667
