0.045	0.031	5.172	8.267	12.934	0.114
3.171	3.732	5.585	11.054	8.151	2.73
240.804	405.448	14.488	6.205	5.426	386.928
0.277	0.536	7.296	14.427	7.566	1.133
2.682	5.339	9.15	10.359	5.716	14.761
0.166	0.274	14.739	14.742	11.539	1.375
11.204	15.928	10.331	11.388	13.816	14.772
0.02	0.033	6.275	12.175	11.485	0.146
21.738	62.417	14.185	9.395	7.586	182.832
35.464	17.699	10.5	6.01	11.012	33.623
0.045	0.041	5.319	7.622	11.043	0.692
1.831	3.099	7.57	13.705	9.862	2.946
0.03	0.038	8.536	11.838	9.032	0.474
0.122	0.235	7.268	12.368	9.111	0.982
41.573	23.556	11.035	5.143	11.692	51.237
4.785	4.947	9.503	6.766	7.567	13.624
0.947	1.267	7.058	5.32	5.367	7.597
9.378	8.934	10.7	7.221	9.575	21.398
226.876	299.982	13.181	6.57	5.412	712.144
2.648	3.599	10.122	8.867	12.98	6.393
0.611	0.508	6.645	12.533	10.151	0.738
0.156	0.221	11.794	12.07	12.299	1.05
6.11	3.079	10.368	8.347	13.275	10.287
