    16.31      16.86      18.81      17.27      16.27      15.44      16.05       17.2      17.32      17.43  
    14.24      15.82      17.92      15.93      15.47      17.36      17.76      16.86      17.76       17.2  
    17.65      16.94      14.18      14.24      16.26      14.65      15.09      15.74      16.57      15.93  
    15.94       15.6      17.48      17.98      19.03      16.46      18.87      17.85      19.32      15.65  
    15.78      15.01      15.54      16.73      15.43      16.67      17.41      16.31      17.33       17.3  
    16.21      15.63      17.66      15.97      15.76      17.49      15.34      18.23      17.89      18.07  
    17.22      16.34      18.49      15.46      17.08      15.37      19.23      15.79      17.13      19.76  
    17.63      18.68      14.72      16.36      20.89      17.67      18.14       17.3      15.79      18.44  
    14.62      16.35      18.21      18.98      15.16       15.4      15.01      15.05      19.23      15.98  
    18.82      15.64      16.86      15.85      15.21      20.07      13.56      18.96      18.81      14.63  
     16.7      15.99      20.01      20.28      15.73      17.35      14.77      14.33      18.28      13.33  
    15.34      18.84      17.43      19.81      17.85      16.42      17.63      18.35      16.77      17.06  
    17.74      17.41      19.61      17.84      17.64      17.25      17.02      15.88      15.88      17.47  
    17.09      18.21      17.83      18.68      16.11      15.77      18.67       16.7       16.8      16.48  
     20.5      17.92      16.65      15.17      16.37      17.45      16.39       14.4       17.1      16.34  
    15.02      14.63       20.4      20.16      13.28       14.8      16.21      17.27      14.85      17.51  
    15.82      19.14      17.61      18.71      17.62      17.45      13.62      15.44      17.62      17.62  
    16.33      18.15       16.5      18.58      16.97       13.3      15.55      18.58      17.33      17.95  
    16.96      19.41      17.92      17.83      16.58      16.43      21.06      15.44      18.07      17.73  
    19.03       18.8      16.44      16.89      19.03      17.54      19.51      18.46      12.62      14.05  
    16.68      15.87      15.51      19.71      15.38      14.18      19.82      16.61       19.3      17.14  
    16.97      18.88      18.22      15.98      16.76       16.5      17.54      18.87      15.38      16.22  
    18.37         18      16.03      17.17      18.26      16.82      17.89      15.93      18.89      18.34  
       17      20.19       15.6      18.29      16.53      17.01      16.64      17.72      18.25      15.25  
    16.69      18.75      13.21      15.23      16.52      17.18      16.22      15.89      16.77      14.21  
    17.85       15.8      16.36      16.81      18.08      15.67      17.57      18.03      16.46      15.93  
    17.97      13.84      18.14       17.6      15.33      19.62      16.41      14.31      17.12      14.06  
    19.19      18.12      19.17      17.55      18.35      16.39       17.9      17.74      17.74      17.18  
       17      14.42       19.3      15.85      15.34      19.41      17.33       16.1      18.01      17.12  
    19.84       14.5      17.16      16.49      12.73      20.23      15.77      15.95      18.24      20.12  
    19.81      15.74      16.32      17.33      18.32      16.87      17.09      19.08      15.85      18.48  
    18.24      16.49      17.87      17.01      17.11      17.46      17.87      17.35      19.75      16.37  
    16.73      18.52      16.92      17.08      17.78      16.34      15.59      16.77      19.05      17.79  
    16.69      15.68      18.23       17.8      15.57      17.11      16.31      18.63      17.78      15.86  
    18.45      16.32      18.29      13.74      17.85      19.09      18.47      18.46      18.21       20.6  
    20.51      16.32       21.3      18.05       17.6      15.89      15.46      15.72      15.19      17.27  
    18.67      16.49      18.09      19.48      19.96      17.39      15.97      17.43      16.82         16  
    18.49       16.5      17.42      18.08      16.97      21.32      17.08      15.15      17.16      15.39  
    18.01      14.47      16.69      12.62      16.22      18.97      18.72      17.36      17.75      19.83  
    18.25      18.58      17.82      19.26      17.56      16.66      16.08      16.21      14.61       18.6  
    17.01      15.13      16.92       16.8      18.24      18.05      15.38      17.24      17.42      16.52  
    18.33      16.97       16.4      15.17      16.12      16.09      15.48      17.66      15.89      14.83  
    17.75         18       18.7      15.48       16.6      15.13      15.02      14.47      14.29      14.61  
    18.15      17.44      17.74      16.17      18.46      16.75      17.61      17.74      17.38      16.91  
     15.2      14.67      18.91      15.86      16.06      15.76      13.89      16.46      14.67         17  
    16.21      19.69      18.62      16.64      19.74       16.1      18.97      16.39      15.39      16.02  
    18.59      15.81      16.57      17.52      16.57      19.73      14.78      16.86      17.83      16.57  
    16.07      15.03      17.88      18.45      15.31      17.14         20      14.76       17.6       17.4  
    17.18      16.91      15.07      19.13      19.81      19.21      17.22      16.02      15.82      17.43  
    16.87       16.6      15.84       17.2      16.15      15.37      14.87      16.62      17.78      18.87  
