     8369       7537        428  
     8436       7651        434  
     8567       7655        404  
     8692       7885        475  
     8775       7947        491  
     8865       7967        486  
     8794       7917        482  
     8696       7825        465  
     8705       7819        448  
     8669       7885        469  
     8727       7956        469  
     8853       8081        497  
     8943       8224        541  
     9119       8345        569  
     9253       8414        586  
     9311       8475        566  
     9363       8450        537  
     9416       8442        535  
     9417       8427        523  
     9518       8498        537  
     9491       8517        546  
     9514       8496        530  
     9521       8530        523  
     9422       8493        514  
     9296       8340        477  
     9322       8376        467  
     9474       8475        475  
     9545       8543        490  
     9570       8648        516  
     9715       8759        534  
     9669       8824        543  
     9701       8796        513  
     9773       8839        528  
     9787       8917        538  
     9757       8848        532  
     9702       8816        516  
     9752       8778        483  
     9862       8876        491  
     9958       8885        501  
    10109       9023        524  
    10167       9084        534  
    10244       9163        546  
    10264       9205        548  
    10305       9297        572  
    10350       9324        582  
    10416       9386        593  
    10497       9480        598  
    10628       9521        606  
    10807       9678        626  
    11069       9819        641  
    11176       9967        660  
    11262       9957        636  
    11351      10145        695  
    11447      10232        694  
    11726      10376        717  
    11920      10629        745  
    11997      10756        779  
    11999      10760        744  
    12115      10852        768  
    12214      10862        765  
    12365      10896        749  
    12434      11016        781  
    12521      11044        771  
    12574      11077        770  
    12761      11312        817  
    12948      11464        831  
    12940      11650        867  
    12985      11668        858  
    12973      11771        872  
    13076      11822        868  
    13305      11846        863  
    13360      11902        856  
    13389      11942        839  
    13588      11965        845  
    13726      12032        845  
    13628      11955        781  
    13870      12144        866  
    14027      12221        883  
    14044      12283        904  
    14144      12447        941  
    14192      12577        962  
    14287      12786        983  
    14548      12951       1006  
    15085      13216       1058  
    15217      13423       1122  
    15326      13388       1105  
    15376      13405       1092  
    15520      13330       1061  
    15247      13186       1031  
    15091      13212       1036  
    15109      13241       1040  
    15002      13014        934  
    14915      13095        952  
    15577      13283        968  
    15322      13433       1027  
    15430      13535       1055  
    15619      13771       1106  
    15711      13866       1109  
    15814      13979       1119  
    15884      14123       1134  
    15876      14256       1179  
    16011      14300       1204  
    16212      14400       1216  
    16487      14572       1237  
    16541      14617       1201  
    16696      14894       1291  
    16792      14919       1270  
    16878      14994       1275  
    17027      15033       1259  
    16865      14989       1227  
    16917      15095       1259  
    17013      15089       1222  
    17087      15022       1202  
    16736      14647       1065  
    16858      14763       1112  
    17165      14915       1144  
    17060      14944       1176  
    17066      14917       1126  
    17407      14940       1160  
    17398      14784       1070  
    17362      14848       1105  
    17449      14869       1106  
    17483      14948       1112  
    17465      15179       1162  
    17574      15294       1170  
    17678      15568       1256  
    17889      15809       1303  
    18248      16017       1365  
    18631      16122       1416  
    18941      16322       1445  
    19208      16413       1442  
    19343      16585       1485  
    19287      16828       1535  
    19644      16951       1550  
    19459      17231       1648  
    19606      17224       1583  
    19797      17329       1612  
    19966      17479       1665  
    20002      17741       1809  
    19950      17808       1776  
    20078      17779       1660  
    19824      17987       1727  
    20129      18148       1795  
    20350      18144       1739  
    20563      18406       1823  
    20705      18502       1820  
    20828      18613       1792  
    20958      18780       1837  
    21185      18809       1822  
    21073      18859       1845  
    21124      18991       1881  
    21204      19022       1816  
    21346      19131       1894  
    21414      19145       1826  
    21363      19160       1801  
    21137      18953       1742  
    21083      18810       1686  
    21165      18918       1690  
    21143      18936       1711  
    21182      18849       1676  
    21448      19102       1736  
    21542      19153       1745  
    21555      19276       1777  
    21792      19427       1806  
    21309      19435       1818  
    21549      19551       1874  
    21507      19701       1891  
    21738      19807       1934  
    21495      19969       1975  
    21829      20059       1993  
    21906      20140       2008  
    22137      20275       2073  
    22209      20250       2027  
    22132      20363       2045  
    22179      20479       2100  
    22222      20550       2131  
    22413      20677       2148  
    22539      20847       2214  
    22662      20917       2225  
    22701      21020       2263  
    22853      21186       2321  
    22978      21228       2308  
    23170      21511       2406  
    23394      21659       2458  
    23827      21836       2462  
    24114      22129       2570  
    24305      22330       2634  
    24415      22559       2781  
    24525      22720       2763  
    24500      23019       2886  
    24548      23189       2938  
    24823      23400       2949  
    25304      23708       3106  
    25413      23800       3023  
    25670      23966       3059  
    25632      24098       3056  
    25650      24135       3097  
    25481      24140       3088  
    26117      24184       3104  
    25672      24525       3350  
    26319      24550       3306  
    26384      24639       3328  
    26215      24715       3412  
    26155      24732       3358  
    26252      24826       3380  
    26487      24993       3492  
    26886      25287       3645  
    26877      25409       3632  
    27057      25642       3663  
    27078      25706       3658  
    27197      25918       3744  
    27721      26125       3784  
    27419      26291       3800  
    27378      26455       3865  
    27219      26658       3943  
    27489      26648       3758  
    27535      26920       3928  
